Student_NIP;Detection_shape;Questions_asked;Distance;Professors_left;Simulation_duration;Current_stress
0;CONE;3;12640.03;7;95;44.80%
736519;CIRCLE;2;11241.47;8;100;100.00%
736519;CONE;5;33076.19;5;257;100.00%
779601;CIRCLE;2;6184.83;8;100;100.00%
779601;CONE;2;19752.73;8;148;100.00%
817306;CIRCLE;3;11377.77;7;100;100.00%
817306;CONE;3;23574.27;7;178;100.00%
818084;CIRCLE;2;12702.99;8;100;100.00%
818084;CONE;2;17395.74;8;130;99.99%
841115;CIRCLE;2;12695.03;8;100;100.00%
841115;CONE;1;17317.69;9;126;100.00%
844943;CIRCLE;2;12358.85;8;100;100.00%
844943;CONE;2;17737.85;8;133;100.00%
848734;CIRCLE;2;11621.71;8;100;100.00%
848734;CONE;4;44959.37;6;357;100.00%
866690;CIRCLE;2;7657.57;8;100;100.00%
866690;CONE;2;22130.12;8;164;99.99%
868156;CIRCLE;3;8735.56;7;100;100.00%
868156;CONE;3;34047.32;7;262;100.00%
868277;CIRCLE;2;12187.17;8;100;100.00%
868277;CONE;2;24923.27;8;193;100.00%
869654;CIRCLE;2;12353.70;8;100;100.00%
869654;CONE;5;50906.78;5;400;100.00%
870929;CIRCLE;3;13006.49;7;100;100.00%
870929;CONE;6;49756.79;4;379;100.00%
871308;CIRCLE;1;12398.20;9;100;100.00%
871308;CONE;3;26365.89;7;199;100.00%
871337;CIRCLE;3;12909.15;7;100;100.00%
871337;CONE;3;22766.86;7;171;100.00%
872435;CIRCLE;3;11045.84;7;100;100.00%
872435;CONE;7;80088.72;3;619;100.00%
875330;CIRCLE;2;11472.45;8;100;100.00%
875330;CONE;2;17832.69;8;136;100.00%
879578;CIRCLE;4;11649.73;6;100;100.00%
879578;CONE;4;27743.40;6;212;100.00%
885096;CIRCLE;2;13036.70;8;100;100.00%
885096;CONE;3;24193.49;7;182;100.00%
896991;CIRCLE;0;5088.79;10;70;100.00%
896991;CONE;3;26838.48;7;208;100.00%
