L        beta       energy       spec-heat    abs-magnet   suscept
016      0.4407      -0.729688        0.317728             0.723906         3.290436
016      0.4724      -0.808438        0.379208             0.842734         1.200455
016      0.0000      -0.109375        0.000000             0.007812         0.000000
016      0.4559      -0.771641        0.347847             0.790312         2.196091
016      0.4090      -0.606797        0.363421             0.465703         5.983451
016      0.5228      -0.903438        0.210258             0.932969         0.547202
016      0.4255      -0.673047        0.266298             0.627109         3.345255
016      0.3586      -0.458828        0.153612             0.194531         1.859734
016      0.4742      -0.818516        0.359912             0.833438         2.863815
016      0.2719      -0.310703        0.052252             0.100937         0.376857
016      0.3888      -0.520625        0.251209             0.279531         3.928251
016      0.4422      -0.731484        0.355852             0.723750         3.827449
016      0.4925      -0.858047        0.205224             0.900078         0.389345
016      0.4271      -0.679219        0.432234             0.608203         6.112163
016      0.4760      -0.828203        0.292008             0.872500         0.670741
016      0.4574      -0.777891        0.393132             0.789141         3.750881
016      0.2965      -0.347422        0.048033             0.129922         0.743467
016      0.5271      -0.898750        0.190810             0.932656         0.304429
016      0.4107      -0.611406        0.394553             0.480938         5.562655
016      0.4949      -0.873516        0.201153             0.910547         0.489815
016      0.4590      -0.768594        0.461794             0.735391         6.169591
016      0.3626      -0.475859        0.152302             0.245391         2.817917
016      0.3911      -0.540547        0.231491             0.307500         4.609335
016      0.5318      -0.910625        0.149496             0.941719         0.176514
016      0.4606      -0.795859        0.366762             0.830234         1.594643
016      0.4974      -0.874766        0.191829             0.915156         0.319348
016      0.4437      -0.734297        0.336882             0.719531         4.978892
016      0.4779      -0.835156        0.265982             0.878047         0.710042
016      0.3115      -0.369297        0.098178             0.130000         0.762544
016      0.4125      -0.614609        0.272187             0.486094         6.000600
016      0.4286      -0.685391        0.458615             0.621875         7.146163
016      0.3662      -0.482109        0.141808             0.252344         2.453333
016      0.3933      -0.541328        0.245723             0.347031         4.843599
016      0.4798      -0.836250        0.322657             0.870391         1.163662
016      0.5372      -0.921484        0.155254             0.948594         0.203513
016      0.4452      -0.749531        0.452168             0.759219         3.257985
016      0.5000      -0.871719        0.201855             0.906953         0.556329
016      0.4301      -0.709297        0.560448             0.663359         6.021549
016      0.3696      -0.489453        0.177240             0.258984         3.278081
016      0.3955      -0.551172        0.271863             0.377188         5.010666
016      0.5027      -0.873437        0.206107             0.911328         0.408329
016      0.4622      -0.800469        0.264454             0.828516         1.439232
016      0.4142      -0.612969        0.329371             0.478438         6.215705
016      0.3728      -0.487656        0.204702             0.276406         3.001619
016      0.4818      -0.835703        0.235887             0.871016         1.209100
016      0.4467      -0.748594        0.370174             0.768125         2.599880
016      0.3758      -0.500859        0.183169             0.284141         3.358597
016      0.3224      -0.391406        0.083746             0.158125         1.392493
016      0.5433      -0.922031        0.120187             0.951562         0.126218
016      0.4838      -0.852109        0.246647             0.892344         0.587436
016      0.4317      -0.691719        0.412625             0.625469         6.929178
016      0.5055      -0.886719        0.180820             0.925156         0.231091
016      0.4639      -0.817656        0.240166             0.848906         1.278405
016      0.4482      -0.749687        0.382606             0.743203         3.321531
016      0.4159      -0.611641        0.373475             0.475313         5.975553
016      0.3310      -0.405234        0.094145             0.154844         1.182899
016      0.4655      -0.780859        0.362418             0.787891         3.049948
016      0.5504      -0.926484        0.119253             0.951641         0.253603
016      0.3787      -0.520547        0.199524             0.303438         3.672735
016      0.3976      -0.546719        0.317018             0.379922         5.481452
016      0.4332      -0.710313        0.361998             0.683125         5.256278
016      0.5085      -0.877266        0.208430             0.913281         0.490317
016      0.4497      -0.738281        0.397364             0.721641         4.909024
016      0.4859      -0.840547        0.280580             0.872344         1.626243
016      0.4175      -0.634141        0.391409             0.516875         7.541195
