    beta         energy       spec-heat           abs-magnet          suscept
  0.5106      -0.887074        0.169369             0.923927         0.281934
  0.5391      -0.916682        0.129071             0.947359         0.156425
  0.4666      -0.808705        0.287256             0.841187         1.549281
  0.4785      -0.835993        0.241744             0.874575         0.875418
  0.4925      -0.861159        0.186503             0.900350         0.466683
  0.4457      -0.738219        0.447584             0.703701        15.047995
  0.4559      -0.777070        0.340509             0.791447         4.158119
  0.3888      -0.525119        0.180540             0.041171         6.081111
  0.4255      -0.632930        0.335922             0.124142        46.786946
  0.4028      -0.560971        0.213996             0.059063        12.197797
  0.3422      -0.425377        0.104438             0.023535         1.805700
  0.3707      -0.482573        0.150451             0.030687         3.519605
  0.4357      -0.677123        0.570429             0.295804       206.758253
  0.4148      -0.596000        0.273153             0.081039        24.862442
  0.0000      -0.002808        0.000000             0.000854         0.000000
  0.4941      -0.863547        0.199150             0.902654         0.478962
  0.4798      -0.834669        0.552058             0.804896       302.571696
  0.4678      -0.811105        0.300033             0.843222         1.759525
  0.5433      -0.920058        0.118572             0.949856         0.141514
  0.5128      -0.861661        0.170936             0.311478       138.103616
  0.4467      -0.741875        0.481471             0.706770        23.396184
  0.4569      -0.781009        0.301018             0.799696         3.373709
  0.3904      -0.528147        0.185413             0.040646         6.227014
  0.4265      -0.636928        0.358454             0.133369        77.103972
  0.4041      -0.564106        0.225361             0.056706        11.185419
  0.3728      -0.487210        0.149649             0.031480         3.323860
  0.4159      -0.599455        0.278109             0.074649        23.088634
  0.4367      -0.683260        0.598331             0.376917       218.360968
  0.3460      -0.432375        0.105980             0.023179         1.693063
  0.2583      -0.289941        0.044304             0.013660         0.422740
  0.4689      -0.814270        0.266940             0.847696         1.490264
  0.5151      -0.892311        0.154350             0.928378         0.244762
  0.4811      -0.841083        0.226071             0.879602         0.799751
  0.4580      -0.783870        0.326661             0.804731         3.009024
  0.4957      -0.865999        0.190226             0.905176         0.467249
  0.5479      -0.906446        0.965186             0.435040      1478.463452
  0.4477      -0.745851        0.407931             0.721993        13.385825
  0.4170      -0.602470        0.300577             0.078860        21.786831
  0.3919      -0.531931        0.193555             0.042113         6.192132
  0.4276      -0.640928        0.335248             0.128193        57.649244
  0.4054      -0.567697        0.236451             0.053887        11.254212
  0.4377      -0.690783        0.623321             0.458753       149.958941
  0.3749      -0.491433        0.162667             0.031935         3.744926
  0.3495      -0.438741        0.111217             0.024451         1.981139
  0.2820      -0.324159        0.058357             0.014627         0.570834
  0.4700      -0.816564        0.286165             0.847742         5.141291
  0.5175      -0.895335        0.159082             0.930747         0.250210
  0.4590      -0.787726        0.330526             0.810620         2.797978
  0.4974      -0.868768        0.201645             0.907741         0.442005
  0.4825      -0.843624        0.229691             0.882848         0.706062
  0.5531      -0.900998        0.105687             0.107857        41.239244
  0.4487      -0.752099        0.398514             0.743392         7.732366
  0.4181      -0.606820        0.314564             0.081913        23.307401
  0.4286      -0.645451        0.371418             0.166585        76.355346
  0.4066      -0.570949        0.243298             0.057818        14.417349
  0.3933      -0.535178        0.190863             0.041492         6.118939
  0.4387      -0.696595        0.618997             0.469581       168.371805
  0.3528      -0.444890        0.114151             0.024880         2.053333
  0.3768      -0.496097        0.165423             0.031240         3.635942
  0.2965      -0.346834        0.071224             0.015825         0.691102
  0.5201      -0.898052        0.155864             0.932990         0.230559
  0.4712      -0.820163        0.256724             0.855518         1.245488
  0.4991      -0.871652        0.184264             0.910379         0.366461
  0.4838      -0.846174        0.211127             0.885207         0.660110
  0.4601      -0.791020        0.313521             0.816066         2.573796
  0.5590      -0.931892        0.104719             0.958400         0.101034
  0.4497      -0.756200        0.416619             0.750542        10.811773
  0.4192      -0.610107        0.273456             0.080321        25.748827
  0.4296      -0.649244        0.364259             0.140487        67.461173
  0.4078      -0.574714        0.251022             0.064004        16.276483
  0.4397      -0.701123        0.634136             0.427953       301.684399
  0.3948      -0.539081        0.203243             0.045506         7.744445
  0.3558      -0.450893        0.125975             0.025697         2.337091
  0.3787      -0.499979        0.169797             0.033186         3.828196
  0.3071      -0.363652        0.074955             0.017732         0.923928
  0.5228      -0.900917        0.146741             0.935223         0.214338
  0.5009      -0.873812        0.184541             0.912094         0.394548
  0.4852      -0.848705        0.210179             0.887757         0.638300
  0.4724      -0.822754        0.241266             0.858691         1.129258
  0.4611      -0.793782        0.302416             0.820194         2.495102
  0.5659      -0.936550        0.101599             0.961723         0.094708
  0.4507      -0.759262        0.397922             0.757882         7.265280
  0.4306      -0.651714        0.433518             0.154792        99.150777
  0.4407      -0.710054        0.627682             0.578716        73.097232
  0.4202      -0.614035        0.318772             0.098337        37.497426
  0.4090      -0.578278        0.250539             0.056307        13.495023
  0.3962      -0.543176        0.211020             0.046513         8.952841
  0.3586      -0.457682        0.135772             0.025442         2.322236
  0.3805      -0.504425        0.164539             0.036166         4.437707
  0.3155      -0.377275        0.081818             0.018477         1.008674
  0.5256      -0.903643        0.141508             0.937505         0.203565
  0.5027      -0.876052        0.177306             0.914173         0.364245
  0.4866      -0.851409        0.207724             0.890854         0.620796
  0.5742      -0.941600        0.095795             0.965099         0.085680
  0.4736      -0.825089        0.249785             0.861577         1.067700
  0.4622      -0.796422        0.291301             0.824148         2.075571
  0.4517      -0.762309        0.406369             0.763693         7.484102
  0.4417      -0.716303        0.639026             0.609196        76.879905
  0.4317      -0.656146        0.372873             0.143517        89.547928
  0.4213      -0.616799        0.294440             0.083631        23.998984
  0.4102      -0.581368        0.269566             0.066847        14.744337
  0.3976      -0.546521        0.221934             0.050077         9.168798
  0.3613      -0.462284        0.142674             0.028529         2.671355
  0.3823      -0.508543        0.162112             0.036133         4.232740
  0.3224      -0.389356        0.088374             0.019474         1.093424
  0.5286      -0.892306        1.001593             0.557449      1212.780220
  0.4880      -0.853760        0.212650             0.892902         0.603978
  0.5046      -0.878793        0.177976             0.916542         0.339852
