    beta         energy       spec-heat           abs-magnet          suscept
  0.4395      -0.749108        0.360766             0.753389         4.478306
  0.4357      -0.704637        0.240968             0.645422         5.344350
  0.4464      -0.765042        0.714454             0.768371         5.205173
  0.4310      -0.691082        0.461561             0.661831         2.830430
  0.4450      -0.718906        0.492859             0.664209         8.955144
  0.4384      -0.744114        0.232400             0.754816         1.739558
  0.4427      -0.711296        0.571908             0.696314         6.995383
  0.4416      -0.722473        0.569685             0.668490         9.300715
  0.4372      -0.708205        0.185432             0.622117         6.537696
  0.4405      -0.731034        0.255267             0.708918         3.369337
  0.4509      -0.792628        0.353091             0.809750         5.026488
  0.4439      -0.731510        0.406345             0.707729         4.073211
  0.4481      -0.765042        0.639488             0.809512         1.384217
  0.4339      -0.697741        0.298378             0.682283         4.606365
  0.0000       0.051130        0.000000             0.001189         0.000000
  0.4396      -0.742212        0.189819             0.745065         1.298183
  0.4466      -0.721522        0.418579             0.690131         2.937571
  0.4316      -0.710820        0.350055             0.682283         2.399872
  0.4452      -0.687277        0.323723             0.497265        10.393305
  0.4417      -0.683234        0.369760             0.600713        11.120262
  0.4385      -0.702973        0.141969             0.688466         1.324234
  0.4342      -0.657551        0.349316             0.353627        21.575916
  0.4428      -0.728894        0.302827             0.719857         3.724231
  0.4373      -0.713199        0.290334             0.650654         6.527036
  0.4517      -0.752200        0.459424             0.778597         3.304616
  0.4398      -0.755767        0.288861             0.774792         2.447336
  0.4407      -0.749108        0.465178             0.771225         2.313905
  0.4360      -0.667301        0.404858             0.435910         7.565868
  0.4485      -0.754578        0.311422             0.769798         3.412490
  0.4440      -0.693460        0.464192             0.682996         3.750841
  0.4238      -0.626873        0.324336             0.402854         3.751270
  0.4454      -0.765993        0.334928             0.810464         1.102130
  0.4345      -0.701070        0.415230             0.605232        14.332056
  0.4469      -0.768609        0.301221             0.796671         2.375954
  0.4419      -0.736504        0.519649             0.703924         8.433773
  0.4320      -0.651130        0.328506             0.248751        12.816546
  0.4525      -0.760048        0.066758             0.774078         0.971393
  0.4387      -0.722949        0.475832             0.703924         7.903468
  0.4362      -0.709394        0.283877             0.659453         7.669625
  0.4430      -0.752200        0.431614             0.765279         5.835562
  0.4375      -0.701546        0.254772             0.645184         5.328026
  0.4408      -0.708205        0.231089             0.686801         1.757545
  0.4442      -0.726278        0.230562             0.740547         0.962249
  0.4399      -0.718906        0.662339             0.693222        13.291652
  0.4263      -0.651843        0.470188             0.587158         2.610098
  0.4489      -0.765042        0.240411             0.806421         1.153019
  0.4348      -0.670155        0.867245             0.472533        32.840953
  0.4456      -0.760523        0.275617             0.761237         2.823378
  0.4472      -0.751962        0.235453             0.780975         1.939903
  0.4364      -0.703924        0.279408             0.689180         3.622932
  0.4420      -0.626873        0.287382             0.251130        13.221612
  0.4432      -0.715339        0.126220             0.716290         1.986993
  0.4377      -0.710345        0.299028             0.699405         3.167627
  0.4444      -0.716766        0.668911             0.648038        10.843811
  0.4401      -0.702497        0.110633             0.648989         2.698408
  0.4325      -0.651367        0.492287             0.453983        23.670009
  0.4536      -0.764566        0.397973             0.773603         3.112858
  0.4410      -0.735553        0.320811             0.678716         5.931298
  0.4389      -0.727229        0.226573             0.714625         1.734314
  0.4493      -0.739834        0.570220             0.689417        10.309946
  0.4278      -0.641617        0.734379             0.323662        26.846167
  0.4350      -0.671344        0.549202             0.443282        26.762155
  0.4459      -0.723900        0.221563             0.689893         1.763080
  0.4422      -0.701070        0.168247             0.513912        20.884702
  0.4366      -0.719382        0.447427             0.684661         4.190401
  0.4551      -0.783115        0.522279             0.805470         2.535341
  0.4433      -0.736504        0.797678             0.730321         7.718569
  0.4446      -0.766468        0.183394             0.781451         1.120493
  0.4475      -0.730797        0.295185             0.667539         7.012838
  0.4402      -0.636147        0.056742             0.246849         6.683671
  0.4329      -0.623068        0.166611             0.118668         2.592888
  0.4411      -0.685612        0.229912             0.601902         5.804980
  0.4379      -0.690844        0.483510             0.631867         4.693622
  0.4390      -0.685137        0.350620             0.666350         2.914479
  0.4498      -0.754102        0.760257             0.767182         4.479108
  0.4289      -0.668728        0.294319             0.574554         8.246697
  0.4461      -0.742925        0.324448             0.745065         4.903158
  0.4353      -0.644233        0.387511             0.271344        21.364331
  0.4368      -0.677527        0.426497             0.509156        21.487353
  0.4404      -0.679191        0.463562             0.577646        18.623778
  0.4424      -0.722949        0.630250             0.720809         4.944435
  0.4332      -0.703210        1.101007             0.677765         8.373953
  0.4448      -0.733888        0.208577             0.746730         1.655426
  1.0000      -0.999287        0.004281             0.999524         0.001902
  0.4413      -0.739358        0.308775             0.737931         2.883284
  0.4478      -0.678716        0.365895             0.436861        28.100515
  0.4435      -0.741736        0.368647             0.750297         1.772388
  0.4392      -0.719144        0.294047             0.688704         2.897601
  0.4297      -0.652081        0.290228             0.472295        11.780396
  0.4380      -0.742925        0.222768             0.761950         1.596100
  0.4503      -0.774316        0.651727             0.794293         3.192524
  0.4355      -0.717717        0.259608             0.646136        19.912067
  0.4370      -0.690606        0.822675             0.520333        34.041435
  0.4425      -0.660166        0.452537             0.375268        23.574365
  0.4336      -0.640904        0.604243             0.331986        16.398556
  0.4414      -0.718430        0.124855             0.712010         2.837449
  0.4437      -0.733888        0.324670             0.761237         1.621237
  0.4304      -0.694411        0.144953             0.673246         1.964506
  0.4393      -0.713199        0.129783             0.659929         4.886261
  0.4382      -0.658977        0.309551             0.462545        14.463942
